member_pk,categoria,setor,data_ultima_visita,data_ultima_compra
100,Baby and Toys,Baby,2026-01-12,
100,Bed and Bath,Home & Decor,2026-01-05,
100,Kids I,Kids,2026-01-02,
100,Kids II,Kids,2026-01-13,
100,Shoes IV,Shoes,2026-01-05,
100,Sul II,Furniture,2026-01-02,
137,Bed and Bath,Home & Decor,2026-01-11,
188,Kids II,Kids,2025-12-21,
188,Shoes I,Shoes,2026-01-16,
188,Sports,Sport,2025-12-30,
188,Underwear,Underwear,2026-01-04,
188,Varejo Masculino,Fashion,2025-12-17,
272,Acessories,Eyewear,2025-12-30,
272,Beachwear,Beachwear,2025-12-30,
272,Houseware I,Home & Decor,2026-01-16,
274,Baby,Kids,2025-12-31,
274,Beachwear,Beachwear,2025-12-29,
274,Bed and Bath,Home & Decor,2025-12-25,
274,Shoes II,Shoes,2025-12-21
